<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Estação - 83897</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : FLORIANOPOLIS - SC (OMM: 83897)
Latitude  (graus) : -27.58
Longitude (graus) : -48.56
Altitude  (metros): 1.84
Estação Operante
Inicio de operação: 01/12/1921
Periodo solicitado dos dados: 01/01/1930 a 31/12/2012
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempBulboSeco;TempBulboUmido;TempMaxima;TempMinima;UmidadeRelativa;PressaoAtmEstacao;PressaoAtmMar;DirecaoVento;VelocidadeVentoInsolacao;Nebulosidade;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83897;01/07/1961;0000;;;;23.3;;;;;;;6.1;;;19.92;90.75;5.333333;
83897;01/07/1961;1200;;19;18;;18.3;90;1019.2;;32;3;;10;;;;;
83897;01/07/1961;1800;;21.7;19.4;;;79;1015.1;;36;5;;4;;;;;
83897;02/07/1961;0000;;19.5;19.2;25.7;;97;1015.2;;36;8;5.4;2;3.7;20.24;88;3.666667;
83897;02/07/1961;1200;0;19.1;18.1;;18.4;90;1016;;36;3;;10;;;;;
83897;02/07/1961;1800;;25.4;21;;;66;1013.5;;36;1;;10;;;;;
83897;03/07/1961;0000;;19;18.8;22.7;;98;1019.2;;14;7;3;6;3.7;18.98;82.25;2.666667;
83897;03/07/1961;1200;0;18;16.8;;17.4;88;1020.7;;18;5;;10;;;;;
83897;03/07/1961;1800;;20.8;18.4;;;79;1020.6;;0;0;;4;;;;;
83897;04/07/1961;0000;;18.4;16.5;22.7;;81;1022.4;;14;3;3.4;5;2;19.54;88;1;
83897;04/07/1961;1200;0;18.8;17.4;;17;86;1022.6;;0;0;;10;;;;;
83897;04/07/1961;1800;;21.4;19.1;;;80;1019.2;;36;2;;8;;;;;
83897;05/07/1961;0000;;19.6;18.8;23.2;;93;1018.5;;36;1;2.8;0;2;19.54;90.5;2;
83897;05/07/1961;1200;0;18.1;17.6;;17.2;95;1018.3;;0;0;;10;;;;;
83897;05/07/1961;1800;;21.8;19.6;;;81;1014;;36;3;;2;;;;;
83897;06/07/1961;0000;;19.6;18.8;23.5;;93;1014;;36;3;1.2;3;1.8;19.88;84.5;1;
83897;06/07/1961;1200;0;17.7;17.1;;16.6;94;1014.8;;36;1;;10;;;;;
83897;06/07/1961;1800;;21.2;19.2;;;82;1011.5;;36;1;;10;;;;;
