<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Estação - 83936</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : SANTA MARIA - RS (OMM: 83936)
Latitude  (graus) : -29.7
Longitude (graus) : -53.7
Altitude  (metros): 95.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1930 a 31/12/2012
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempBulboSeco;TempBulboUmido;TempMaxima;TempMinima;UmidadeRelativa;PressaoAtmEstacao;PressaoAtmMar;DirecaoVento;VelocidadeVentoInsolacao;Nebulosidade;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83936;01/01/1961;0000;;;;31.9;;;;;;;7.7;;1.1;25.86;73;1;
83936;01/01/1961;1200;;23.9;21.4;;18.1;79;990.3;;;0;;0;;;;;
83936;01/01/1961;1800;;30.6;25.1;;;63;988.2;;;3;;9;;;;;
83936;02/01/1961;0000;;27.7;24.4;34;;75;986.4;;;0;6;0;2.7;27.82;74.25;0.666667;
83936;02/01/1961;1200;0;26.4;23.8;;23.5;79;989.4;;;0;;4;;;;;
83936;02/01/1961;1800;;30.8;25.2;;;62;989;;;1;;10;;;;;
83936;03/01/1961;0000;;27.6;24.6;31.6;;78;988.2;;;1;7.8;0;2.6;24.16;66.25;5;
83936;03/01/1961;1200;0;23.3;19.9;;20.1;72;991.1;;;3;;8;;;;;
83936;03/01/1961;1800;;31.2;23.6;;;51;990.3;;;5;;10;;;;;
83936;04/01/1961;0000;;22.9;19.4;31.4;;71;991.2;;;7;9.2;10;3.2;24.48;58.25;1.333333;
83936;04/01/1961;1200;0.1;22;19;;17.4;74;993.1;;;1;;0;;;;;
83936;04/01/1961;1800;;31;22;;;43;992.8;;;3;;5;;;;;
83936;05/01/1961;0000;;25.8;20.2;32.7;;58;990.2;;;0;6.4;0;3.9;23.3;73;2.333333;
83936;05/01/1961;1200;0;21;17.4;;16.4;68;992;;;3;;3;;;;;
83936;05/01/1961;1800;;32.7;24.8;;;50;987.6;;;3;;10;;;;;
83936;06/01/1961;0000;;23.2;21.8;27.4;;87;985.8;;;1;4.6;10;2.4;22.42;77.75;2;
83936;06/01/1961;1200;51.9;19.4;18.9;;18.1;95;988;;;3;;10;;;;;
83936;06/01/1961;1800;;26;22.1;;;70;989.4;;;3;;10;;;;;
83936;07/01/1961;0000;;23.6;20.4;29;;73;990;;;0;9.2;10;1.9;22.34;57.75;3;
83936;07/01/1961;1200;0.1;19.7;17.1;;14.6;76;996.3;;;3;;0;;;;;
83936;07/01/1961;1800;;28.8;20.6;;;45;994.7;;;3;;1;;;;;
83936;08/01/1961;0000;;24.2;18.4;33.4;;55;992.6;;;3;9.1;0;3.2;25.42;65.5;1;
83936;08/01/1961;1200;0;20.1;17.8;;15.2;78;994.6;;;1;;0;;;;;
83936;08/01/1961;1800;;33.1;25.4;;;52;991.9;;;1;;4;;;;;
83936;09/01/1961;0000;;29.2;24.4;35.8;;66;989.8;;;1;9;9;3.2;28.62;60.25;2.333333;
83936;09/01/1961;1200;0;24.7;22.4;;20.6;81;992.2;;;1;;9;;;;;
83936;09/01/1961;1800;;35.5;25.8;;;44;989.9;;;5;;9;;;;;
