<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Estação - 83985</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : PELOTAS - RS (OMM: 83985)
Latitude  (graus) : -31.78
Longitude (graus) : -52.41
Altitude  (metros): 13.00
Estação Operante
Inicio de operação: 01/01/1926
Periodo solicitado dos dados: 01/01/1930 a 31/12/2012
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempBulboSeco;TempBulboUmido;TempMaxima;TempMinima;UmidadeRelativa;PressaoAtmEstacao;PressaoAtmMar;DirecaoVento;VelocidadeVentoInsolacao;Nebulosidade;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83985;01/01/1961;0000;;;;;;;;;;;;;4.5;;74;2.666667;
83985;01/01/1961;1200;;26.2;23.6;;18.6;80;1004.3;;5;2;;7;;;;;
83985;01/01/1961;1800;;28.5;24.4;;;70;1004.8;;5;4;;5;;;;;
83985;02/01/1961;0000;;22.5;19.4;;;73;1007.6;;5;2;;0;4.9;;63.5;3.333333;
83985;02/01/1961;1200;0;27.7;23.8;;17.4;71;1010;;5;2;;1;;;;;
83985;02/01/1961;1800;;31.5;24.4;;;53;1005.1;;14;8;;2;;;;;
83985;03/01/1961;0000;;22.5;18.4;;;65;1012.3;;0;0;;0;5.4;;67.75;2;
83985;03/01/1961;1200;0;24.7;20.8;;16.4;69;1013.8;;14;2;;3;;;;;
83985;03/01/1961;1800;;28.5;22.4;;;56;1010.6;;14;4;;5;;;;;
83985;04/01/1961;0000;;21.5;18.4;;;73;1017;;0;0;;0;3.3;;73.25;2;
83985;04/01/1961;1200;5.8;21.5;18;;17.8;69;1008.6;;0;0;;1;;;;;
83985;04/01/1961;1800;;25.5;21.8;;;70;1004.6;;5;4;;5;;;;;
83985;05/01/1961;0000;;23.1;20.4;;;77;1005.9;;5;2;;4;5.7;;68.5;5.333333;
83985;05/01/1961;1200;0;25.3;19;;17.8;52;1007.8;;5;6;;5;;;;;
83985;05/01/1961;1800;;24.4;19.9;;;64;1002.6;;5;6;;8;;;;;
83985;06/01/1961;0000;;23.8;21.2;;;79;1003.4;;5;4;;10;5.8;;64.25;3.333333;
83985;06/01/1961;1200;5.4;23.9;18.9;;17.2;60;999.9;;23;4;;10;;;;;
83985;06/01/1961;1800;;21.3;17.2;;;65;1004.8;;23;4;;8;;;;;
83985;07/01/1961;0000;;17.8;14.2;;;66;1008.2;;23;2;;0;3.4;;77.5;2.666667;
83985;07/01/1961;1200;0;19.9;15.6;;9.4;62;1011.6;;5;2;;3;;;;;
83985;07/01/1961;1800;;19.8;17.4;;;78;1010.2;;5;4;;5;;;;;
83985;08/01/1961;0000;;18.5;17;;;85;1010.6;;5;2;;0;2.8;;68.5;3.333333;
83985;08/01/1961;1200;0;24.7;19.6;;14.6;61;1010.4;;5;4;;3;;;;;
83985;08/01/1961;1800;;28.3;21.4;;;51;1006.4;;5;4;;4;;;;;
83985;09/01/1961;0000;;21.9;19.8;;;81;1007.4;;5;2;;0;3.2;;81.25;4;
83985;09/01/1961;1200;0;25.5;21.6;;17.2;69;1007;;5;2;;4;;;;;
83985;09/01/1961;1800;;28.7;23.4;;;62;1003.2;;5;4;;8;;;;;
83985;10/01/1961;0000;;23.1;22.7;;;97;1002;;5;6;;4;3.3;;87.5;2.666667;
83985;10/01/1961;1200;21.6;20.3;20;;16.6;97;1004.4;;5;4;;10;;;;;
83985;10/01/1961;1800;;21.7;20;;;85;1005;;5;4;;8;;;;;
83985;11/01/1961;0000;;18.9;17.2;;;84;1009.4;;0;0;;0;3.1;;72.5;2.666667;
83985;11/01/1961;1200;0;23.3;18.8;;14.2;63;1013.5;;5;2;;5;;;;;
83985;11/01/1961;1800;;25.4;20;;;59;1012.3;;5;4;;5;;;;;
83985;12/01/1961;0000;;19.9;18.2;;;84;1014.2;;5;2;;5;2.6;;80;4;
83985;12/01/1961;1200;0;23.3;19.2;;16;67;1012.8;;5;6;;8;;;;;
83985;12/01/1961;1800;;27.6;22.3;;;61;1009.4;;5;4;;4;;;;;
83985;13/01/1961;0000;;23.2;22.7;;;96;1007.9;;5;2;;3;2.6;;74.75;2.666667;
83985;13/01/1961;1200;0;26.5;23.6;;22.2;77;1008.4;;5;2;;5;;;;;
83985;13/01/1961;1800;;31.6;24.9;;;56;1003.4;;5;4;;3;;;;;
83985;14/01/1961;0000;;26.1;24;;;83;1001.9;;5;2;;0;5.3;;74.25;2;
